user_id,seq_d1,seq_d2,domain_id,also_view,also_view_d1,also_view_d2
102,"[23238, 36425, 3157, 35566, 32942, 36519, 36182, 16089]",[],0,[],[],[]
84789,[],"[11206, 33392, 36573, 4297, 21981, 14570]",1,[],[],[]
82666,[],"[22419, 695, 15567, 9882, 18100]",1,"[9689, 10578, 12674, 11417, 18624, 21496, 14351, 33709, 19796, 14930, 11808, 34813, 1511, 794, 5609, 34782, 25708, 29405, 4440, 9266]",[],"[9689, 10578, 12674, 11417, 18624, 21496, 14351, 33709, 19796, 14930, 11808, 34813, 1511, 794, 5609, 34782, 25708, 29405, 4440, 9266]"
72986,[],"[33919, 7122, 31207, 3993, 29936, 12418, 17986, 27924, 28634, 11662, 25387, 2356, 27328, 24696, 24211, 33576]",1,"[36414, 35352, 6402, 5130, 32160, 13356, 22522, 2007, 31826, 36189, 28525, 35787, 10372, 25045, 26040, 14462, 27610, 19661, 9796, 32271, 33540, 30174, 26859, 6187, 8087, 6669, 25793, 6473, 8055, 11268, 3049, 9002, 30326, 32758, 1277, 15481, 2199, 6183, 28179, 27162, 4102, 22836, 13921, 21558, 5287, 12560, 32405, 20581, 5713, 14776, 33634, 19203, 23490, 26168, 12901, 13631, 30683, 15851, 23381]",[],"[36414, 35352, 6402, 5130, 32160, 13356, 22522, 2007, 31826, 36189, 28525, 35787, 10372, 25045, 26040, 14462, 27610, 19661, 9796, 32271, 33540, 30174, 26859, 6187, 8087, 6669, 25793, 6473, 8055, 11268, 3049, 9002, 30326, 32758, 1277, 15481, 2199, 6183, 28179, 27162, 4102, 22836, 13921, 21558, 5287, 12560, 32405, 20581, 5713, 14776, 33634, 19203, 23490, 26168, 12901, 13631, 30683, 15851, 23381]"
15993,"[29621, 6457]",[],0,[],[],[]
15994,"[772, 3317, 34821, 28147, 8383]",[],0,"[3317, 21045, 14012, 18642, 18601, 25955, 5167, 8997, 30383, 33557, 19996, 35723, 20568, 29393, 4660, 37064, 21620]","[3317, 21045, 14012, 18642, 18601, 25955, 5167, 8997, 30383, 33557, 19996, 35723, 20568, 29393, 4660, 37064, 21620]",[]
32007,[],"[34542, 11916, 32249, 36377, 34531]",1,"[15336, 22555, 18525, 32901, 18161, 5267, 7621, 35026, 35958, 26004, 483]",[],"[15336, 22555, 18525, 32901, 18161, 5267, 7621, 35026, 35958, 26004, 483]"
77620,[],"[19744, 15373, 29503, 10264]",1,[],[],[]
26171,[],"[1627, 19688, 32010, 14880, 1645, 5926]",1,"[28511, 28736, 5585, 32010, 22518, 24567, 36642, 24080, 20687, 4353, 26321, 598, 20508, 8168, 16086, 33149, 32744, 12035, 36377, 22933, 19877, 15602, 7915, 22826, 12127, 33264, 9364, 28511, 240, 5585, 12127, 35267, 33238, 25359, 21905, 26321, 37422, 15759, 8168, 16086, 32744, 12035, 25134, 21607, 36377, 22933, 1196, 24206, 31336, 15602, 33485, 7915, 32951, 35570, 33264, 977, 36675, 12514, 19721, 24373, 5685, 31785, 17609, 34852, 12278, 35171, 31086, 32182, 6124, 19911, 35394, 25774, 1517, 2300, 25630, 30402, 7647]",[],"[28511, 28736, 5585, 32010, 22518, 24567, 36642, 24080, 20687, 4353, 26321, 598, 20508, 8168, 16086, 33149, 32744, 12035, 36377, 22933, 19877, 15602, 7915, 22826, 12127, 33264, 9364, 28511, 240, 5585, 12127, 35267, 33238, 25359, 21905, 26321, 37422, 15759, 8168, 16086, 32744, 12035, 25134, 21607, 36377, 22933, 1196, 24206, 31336, 15602, 33485, 7915, 32951, 35570, 33264, 977, 36675, 12514, 19721, 24373, 5685, 31785, 17609, 34852, 12278, 35171, 31086, 32182, 6124, 19911, 35394, 25774, 1517, 2300, 25630, 30402, 7647]"
9866,"[25121, 1502, 20313]",[],0,[],[],[]
26472,[],"[10875, 33548, 26837, 18621]",1,"[13516, 30719, 5925, 21554, 6358]",[],"[13516, 30719, 5925, 21554, 6358]"
24149,[],"[1340, 22121, 9932, 10979, 24474]",1,[],[],[]
21860,[],"[32523, 26561, 28260, 33153, 20551, 29691]",1,[],[],[]
59284,[],"[14783, 23155, 6540, 36165, 11206, 6280, 20794, 17314, 24153, 10328, 35942, 4821]",1,[],[],[]
15620,"[15436, 16886, 10448, 3293]",[],0,"[27607, 3728, 18410, 27064, 17274, 15968, 626, 11299, 35369, 5575, 25517, 10379, 7788]","[27607, 3728, 18410, 27064, 17274, 15968, 626, 11299, 35369, 5575, 25517, 10379, 7788]",[]
10765,"[8101, 33427, 18386, 33945, 23869]",[],0,[],[],[]
17996,"[23855, 15838]",[],0,[],[],[]
5247,"[8238, 22484, 10621, 8593, 1346]",[],0,"[20363, 19406]","[20363, 19406]",[]
13073,"[32338, 12196, 7240, 12794, 9967]",[],0,"[14720, 6031, 2140, 24535, 3597, 26045, 20658, 22442, 21183, 32338, 412, 4486, 16933, 12196]","[14720, 6031, 2140, 24535, 3597, 26045, 20658, 22442, 21183, 32338, 412, 4486, 16933, 12196]",[]
79820,[],"[21549, 7541, 1933, 17006, 3516]",1,[],[],[]
31187,[],"[2603, 1078, 24973]",1,"[33654, 5462, 8996, 1074, 20901, 21934, 23340]",[],"[33654, 5462, 8996, 1074, 20901, 21934, 23340]"
34706,[],"[11027, 12599, 2686, 30296, 24201, 7223, 31387, 1463, 33118, 37138, 14932, 29095, 35106]",1,[],[],[]
4721,"[17598, 8338, 12688]",[],0,[],[],[]
17527,"[6222, 24876, 22361]",[],0,[],[],[]
7232,"[17557, 24670, 23907, 490]",[],0,[],[],[]
15887,"[6031, 436, 22495, 34664, 36633]",[],0,"[26838, 32819, 15100, 2254, 27083, 23217, 33448, 11112, 17909, 37544, 9802, 32806, 4228, 32206, 25101, 21711]","[26838, 32819, 15100, 2254, 27083, 23217, 33448, 11112, 17909, 37544, 9802, 32806, 4228, 32206, 25101, 21711]",[]
54862,[],"[15463, 14777, 31081, 28923, 20377]",1,"[1861, 37016, 18878, 36584, 8757, 25464, 25089, 34275, 20668, 12600, 14794, 13261, 5234, 2863, 24974, 11393, 34833, 25835, 20870, 25757, 8518, 4159, 13770, 11063, 30716, 20481, 37207, 25629, 8921, 2586, 14179, 26704, 21164]",[],"[1861, 37016, 18878, 36584, 8757, 25464, 25089, 34275, 20668, 12600, 14794, 13261, 5234, 2863, 24974, 11393, 34833, 25835, 20870, 25757, 8518, 4159, 13770, 11063, 30716, 20481, 37207, 25629, 8921, 2586, 14179, 26704, 21164]"
13255,"[18386, 19880, 18726, 3944, 16595]",[],0,[24278],[24278],[]
15483,"[31316, 18993]",[],0,[],[],[]
62501,[],"[30465, 37118, 4783, 20871, 19671, 6292]",1,"[37441, 32920, 10683, 31955, 13077, 13855, 13856, 9610, 34076, 36647, 552, 25326, 36262, 36048, 20003, 33319, 18000, 8137, 33853, 14839, 37418, 4313, 34699, 18525, 28752, 23938, 7621, 24402, 608, 35270, 33047, 4204, 31673, 25907, 33013, 839, 5128, 36212, 31243, 5485, 22508, 16038, 15894, 35486, 13456, 8760, 35270, 8905, 9463, 7131, 13516, 28144, 33258, 37464, 14389, 32180, 31409, 5952, 2721, 18520, 4939, 9812, 4422, 17446]",[],"[37441, 32920, 10683, 31955, 13077, 13855, 13856, 9610, 34076, 36647, 552, 25326, 36262, 36048, 20003, 33319, 18000, 8137, 33853, 14839, 37418, 4313, 34699, 18525, 28752, 23938, 7621, 24402, 608, 35270, 33047, 4204, 31673, 25907, 33013, 839, 5128, 36212, 31243, 5485, 22508, 16038, 15894, 35486, 13456, 8760, 35270, 8905, 9463, 7131, 13516, 28144, 33258, 37464, 14389, 32180, 31409, 5952, 2721, 18520, 4939, 9812, 4422, 17446]"
36503,[],"[19608, 34205, 28519, 18938, 3110, 223, 23772]",1,"[31919, 26068, 7621, 24151, 30588, 30914, 21502, 521, 28752, 20913, 26498, 19766, 22854, 25658, 22587, 16553, 10366, 1590, 3055, 18161, 32111, 19368, 1076, 33724, 27873, 8509]",[],"[31919, 26068, 7621, 24151, 30588, 30914, 21502, 521, 28752, 20913, 26498, 19766, 22854, 25658, 22587, 16553, 10366, 1590, 3055, 18161, 32111, 19368, 1076, 33724, 27873, 8509]"
74378,[],"[13449, 6168, 13913, 37164, 23077, 2333, 34583]",1,"[20537, 28361, 23663, 25601, 35131, 1493, 25173, 17520, 24723, 16085, 12091, 18354, 36825, 34428, 26716, 7828, 8288, 21531, 14782, 16425, 27600, 19936, 3268, 10973, 7096, 25131, 20981, 4856, 2130, 25490, 14490, 12545, 31571, 25975, 32202, 25847, 12189, 22861, 31652, 15333, 14786, 36050, 4807, 26938, 5213, 4310]",[],"[20537, 28361, 23663, 25601, 35131, 1493, 25173, 17520, 24723, 16085, 12091, 18354, 36825, 34428, 26716, 7828, 8288, 21531, 14782, 16425, 27600, 19936, 3268, 10973, 7096, 25131, 20981, 4856, 2130, 25490, 14490, 12545, 31571, 25975, 32202, 25847, 12189, 22861, 31652, 15333, 14786, 36050, 4807, 26938, 5213, 4310]"
69043,[],"[15583, 2686, 6400, 21421, 10609]",1,[36737],[],[36737]
52377,[],"[20382, 2935, 36, 28300, 19916, 9327]",1,[],[],[]
57322,[],"[6119, 31569, 36858, 33363, 14831]",1,"[8158, 35005, 6521, 13235, 12816, 9517, 18520, 32064, 14950, 35106, 17446, 17525, 29043, 18020, 29472, 23433]",[],"[8158, 35005, 6521, 13235, 12816, 9517, 18520, 32064, 14950, 35106, 17446, 17525, 29043, 18020, 29472, 23433]"
19326,"[35120, 11534]",[],0,[],[],[]
14603,"[14652, 35782, 22926, 18059]",[],0,[],[],[]
18056,"[15579, 29770, 29805, 36197, 7298, 17122, 29353, 25755]",[],0,[],[],[]
35452,[],"[5128, 31073, 34304, 10352, 35137, 7999, 22522]",1,[],[],[]
34425,[],"[15196, 10674, 27798, 8056, 26459]",1,"[7309, 36143, 30906, 23131, 26923, 28074, 25007, 32126, 26641, 26202, 16220, 4387, 14778, 5909, 2997, 22350, 24491, 16763, 3088, 1313, 6790, 22773, 12498, 8056, 13430, 27781, 6087, 13001, 35042, 16220, 26202, 31697, 11656, 8056, 4183, 27781, 26459, 16281]",[],"[7309, 36143, 30906, 23131, 26923, 28074, 25007, 32126, 26641, 26202, 16220, 4387, 14778, 5909, 2997, 22350, 24491, 16763, 3088, 1313, 6790, 22773, 12498, 8056, 13430, 27781, 6087, 13001, 35042, 16220, 26202, 31697, 11656, 8056, 4183, 27781, 26459, 16281]"
17225,"[27536, 4411, 28805, 23855, 12390]",[],0,[],[],[]
14034,"[20816, 8836, 9330, 25398, 34265, 25535]",[],0,"[36415, 36417, 21658, 8675, 3313, 31129, 8156]","[36415, 36417, 21658, 8675, 3313, 31129, 8156]",[]
51364,[],"[31427, 7390, 34881, 15035, 30648, 21418, 24986, 26459, 9090, 32989, 26496, 332, 19229, 26749, 318, 25213, 15599, 4383]",1,[],[],[]
17887,"[34452, 33974, 20090, 21703, 35753, 4660]",[],0,[],[],[]
59823,[],"[31562, 9699, 4783, 20871, 36165, 21873, 4512, 20613]",1,"[37418, 4313, 34699, 18525, 28752, 23938, 7621, 24402, 608, 35270, 33047, 4204, 31673, 25907, 33013, 839, 5128, 36212, 31243, 5485, 22508, 16038, 15894, 35486, 13456, 8760, 35270, 8905, 9463, 7131]",[],"[37418, 4313, 34699, 18525, 28752, 23938, 7621, 24402, 608, 35270, 33047, 4204, 31673, 25907, 33013, 839, 5128, 36212, 31243, 5485, 22508, 16038, 15894, 35486, 13456, 8760, 35270, 8905, 9463, 7131]"
68114,[],"[30324, 32447, 6146, 19346, 20416, 16578]",1,[],[],[]
10284,"[35382, 21573, 9867, 28968, 20699]",[],0,[],[],[]
13293,"[19398, 11738, 2263, 3944]",[],0,[],[],[]
11912,"[17468, 4059, 30831, 12888]",[],0,[],[],[]
42122,[],"[7246, 2488, 9186, 3973, 4628, 30754]",1,[],[],[]
64282,[],"[9699, 3863, 13145, 22152]",1,[],[],[]
71958,[],"[33495, 27769, 34361, 28338]",1,[],[],[]
74906,[],"[12043, 13137, 24650, 34841, 20069]",1,[],[],[]
18507,"[7758, 1302, 27120, 25552]",[],0,"[24071, 19105, 37654, 33223, 35683]","[24071, 19105, 37654, 33223, 35683]",[]
17631,"[26211, 23642, 3263, 16006, 6585, 27268, 14692]",[],0,"[13798, 32878, 26487, 15761, 30461, 19105, 36247, 1435, 9545, 20705, 21291, 16006]","[13798, 32878, 26487, 15761, 30461, 19105, 36247, 1435, 9545, 20705, 21291, 16006]",[]
73092,[],"[24935, 2390, 24537, 20921, 6625]",1,[],[],[]
28772,[],"[3693, 27990, 16065, 6367, 32259]",1,[],[],[]
71624,[],"[31445, 24951, 2765, 31643]",1,[],[],[]
46310,[],"[16112, 16036, 14799, 25212, 35615, 31793, 10944, 28128, 8508, 28144, 23446, 22295]",1,"[1256, 7160, 12011, 24744, 21924, 22337, 6826, 24747, 13189, 18938, 29643, 37316, 4196, 3486, 36323, 23607, 4666, 12091, 7461, 24556, 16928, 33582, 18173, 16707, 29693, 35262, 19859, 8397, 20470, 21591, 4656, 5162, 20143, 3589, 28718, 9162, 23170, 4588, 16915, 36904, 25088, 15720, 27600, 3268, 26991, 29361, 26101, 2454, 22225, 37112, 26033, 5228]",[],"[1256, 7160, 12011, 24744, 21924, 22337, 6826, 24747, 13189, 18938, 29643, 37316, 4196, 3486, 36323, 23607, 4666, 12091, 7461, 24556, 16928, 33582, 18173, 16707, 29693, 35262, 19859, 8397, 20470, 21591, 4656, 5162, 20143, 3589, 28718, 9162, 23170, 4588, 16915, 36904, 25088, 15720, 27600, 3268, 26991, 29361, 26101, 2454, 22225, 37112, 26033, 5228]"
15712,"[32012, 1332, 10322, 12655]",[],0,[],[],[]
19526,"[37219, 3461]",[],0,[],[],[]
75368,[],"[29564, 37226, 17740, 27507]",1,[],[],[]
56184,[],"[2153, 8911, 27061, 29718]",1,"[22436, 16370, 2088, 10074, 36147, 20473]",[],"[22436, 16370, 2088, 10074, 36147, 20473]"
47507,[],"[10254, 10527]",1,[],[],[]
53777,[],"[29413, 2430, 34828, 18580]",1,[],[],[]
67170,[],"[11895, 31757, 31302, 23007, 21695]",1,[],[],[]
17529,"[6222, 11431, 32870, 20443]",[],0,[],[],[]
38006,[],"[8174, 25327, 12971, 24748, 28783, 10962, 28140, 34886, 16895, 19808, 21670, 16884, 13837]",1,[],[],[]
43597,[],"[23389, 29458, 7372, 22669, 34982]",1,[],[],[]
61789,[],"[27705, 24976, 1941, 16364, 22531]",1,"[17514, 27833, 11305, 36313, 27227, 37316, 35641, 26793, 7110, 27309, 11624, 26330, 10653, 19460, 22295, 16504, 26093]",[],"[17514, 27833, 11305, 36313, 27227, 37316, 35641, 26793, 7110, 27309, 11624, 26330, 10653, 19460, 22295, 16504, 26093]"
88771,[],"[18098, 19743, 755, 6826, 17817]",1,[],[],[]
75346,[],"[31601, 5399, 9735, 16701, 5925, 4755]",1,[],[],[]
18931,"[30387, 34497, 35973, 24197, 21517]",[],0,"[23628, 3944, 31192, 27437, 25815, 32870, 29056, 26867, 33413, 24081, 30541, 12390, 26090, 22570, 33303, 4411, 33194, 4569, 35392]","[23628, 3944, 31192, 27437, 25815, 32870, 29056, 26867, 33413, 24081, 30541, 12390, 26090, 22570, 33303, 4411, 33194, 4569, 35392]",[]
36799,[],"[23794, 3969, 29612, 25480, 35979, 5651, 5522, 29467]",1,[],[],[]
68564,[],"[12503, 27966, 27981, 21708, 6744, 16911, 14500, 28280, 33992, 32633]",1,[],[],[]
74436,[],"[33481, 21189]",1,[],[],[]
2572,"[25988, 27536, 12020, 13551]",[],0,[],[],[]
24392,[],"[13704, 14548, 27465, 7997]",1,"[15908, 15050, 25391, 8417, 22281, 28766, 9629, 17738, 2667, 19194, 19562, 19119, 16370, 3258, 20473, 35661, 12156, 21599, 14398, 4628, 17427, 31613, 6871, 4506, 22436]",[],"[15908, 15050, 25391, 8417, 22281, 28766, 9629, 17738, 2667, 19194, 19562, 19119, 16370, 3258, 20473, 35661, 12156, 21599, 14398, 4628, 17427, 31613, 6871, 4506, 22436]"
64290,[],"[9699, 24427, 32562, 20980, 7568]",1,"[35602, 10419, 22039, 7863, 27686, 18474, 1604, 895, 89, 26165, 25295, 13540, 23881, 28389, 10324, 9283, 25240, 11735, 13633, 28436, 1401, 19045, 29180, 532, 17806, 30405, 30483, 27189, 29727, 30309, 3176]",[],"[35602, 10419, 22039, 7863, 27686, 18474, 1604, 895, 89, 26165, 25295, 13540, 23881, 28389, 10324, 9283, 25240, 11735, 13633, 28436, 1401, 19045, 29180, 532, 17806, 30405, 30483, 27189, 29727, 30309, 3176]"
92831,[],"[32897, 27208, 14662]",1,[],[],[]
28663,[],"[31020, 9512, 34139, 6986, 22844, 25382, 12647]",1,[],[],[]
6378,"[27064, 21573, 19291]",[],0,[],[],[]
17849,"[28805, 23642, 1161, 3646, 24596]",[],0,[],[],[]
13986,"[27304, 6167, 23565]",[],0,[],[],[]
63060,[],"[3125, 22509, 28133, 15035, 17095, 2001]",1,[],[],[]
66244,[],"[32099, 954, 19595, 32911, 5495]",1,"[1172, 1663, 18655, 16299, 17412, 20895, 22875, 15169, 32555, 7292, 1228, 14783, 23003, 30717, 14655, 25442, 9620, 12505, 30406]",[],"[1172, 1663, 18655, 16299, 17412, 20895, 22875, 15169, 32555, 7292, 1228, 14783, 23003, 30717, 14655, 25442, 9620, 12505, 30406]"
39273,[],"[30752, 14470, 32391, 33270, 9363, 26827]",1,[],[],[]
36552,[],"[2877, 26913, 21856, 3851, 37410, 11767, 4913]",1,"[31524, 3680, 17151, 12300, 11336, 20898, 13506, 33521, 13857, 36461, 31413, 32103, 10684, 34386, 32133, 24584]",[],"[31524, 3680, 17151, 12300, 11336, 20898, 13506, 33521, 13857, 36461, 31413, 32103, 10684, 34386, 32133, 24584]"
51739,[],"[33145, 7633, 36816, 28718, 25671]",1,[],[],[]
56189,[],"[2153, 32698, 8476, 23638, 25450]",1,[],[],[]
15086,"[26481, 31365, 29021, 13780]",[],0,[],[],[]
16561,"[25381, 34521, 16039, 33413, 36535, 30838, 5139, 1701]",[],0,"[37636, 120, 33194, 36958, 10803, 26867, 15768, 16039, 26090, 27536, 13551, 33303, 36297, 28805]","[37636, 120, 33194, 36958, 10803, 26867, 15768, 16039, 26090, 27536, 13551, 33303, 36297, 28805]",[]
17458,"[30334, 22169, 20705]",[],0,"[25896, 26070, 22945, 6593, 29384, 7224, 218, 992, 18994, 9612, 29995, 24095, 29598, 29469, 26461, 28503, 25929, 33530, 34465, 23855, 3531, 35644]","[25896, 26070, 22945, 6593, 29384, 7224, 218, 992, 18994, 9612, 29995, 24095, 29598, 29469, 26461, 28503, 25929, 33530, 34465, 23855, 3531, 35644]",[]
12556,"[4515, 15570, 36905, 3380]",[],0,[],[],[]
73254,[],"[31745, 7103, 23588, 9787, 24034, 26379, 32266, 7260, 11052]",1,"[1524, 27227, 4196, 23626, 7432, 20337, 20341, 6351, 26793, 36323, 18069, 31219, 37316, 32212, 4561, 23607, 4666, 32459, 23743, 8642, 10823, 19695, 27063, 25957, 26805, 22295, 30121, 14138, 34496, 29898, 29078, 20777, 28146, 14340, 21199, 8786, 6944, 31635, 6286, 24884, 3776, 16036, 24401, 550, 35091, 4036, 7087, 21842, 901, 220, 26577, 11690, 29167, 20105, 8839, 29996, 2365, 1194, 5958, 12937, 36270, 18165, 18560, 7276, 21772, 7211, 27361, 1006]",[],"[1524, 27227, 4196, 23626, 7432, 20337, 20341, 6351, 26793, 36323, 18069, 31219, 37316, 32212, 4561, 23607, 4666, 32459, 23743, 8642, 10823, 19695, 27063, 25957, 26805, 22295, 30121, 14138, 34496, 29898, 29078, 20777, 28146, 14340, 21199, 8786, 6944, 31635, 6286, 24884, 3776, 16036, 24401, 550, 35091, 4036, 7087, 21842, 901, 220, 26577, 11690, 29167, 20105, 8839, 29996, 2365, 1194, 5958, 12937, 36270, 18165, 18560, 7276, 21772, 7211, 27361, 1006]"
74486,[],"[36189, 64, 923]",1,[],[],[]
25159,[],"[11944, 34656, 32918, 5165, 34491, 21670]",1,"[23997, 11052, 4099, 4545, 14878, 13495, 5403, 12172, 776, 25679, 5746, 32964, 16040, 29097, 34930, 19254, 11883, 1390, 12868, 29684, 8099, 23051, 27220, 13172, 8682, 17078, 24246, 24676, 6317, 26485, 21938, 13448, 2673, 13145, 30139, 1451, 23762, 31748, 5414, 2441, 25326, 26905, 36444, 6541, 7484, 35104, 21835, 14507, 1402, 5274, 15047, 20528, 11052, 31561, 25601, 36824, 9601, 4821, 8115, 13495, 18134, 23199, 24818, 9539, 10517, 32964, 30707, 16081, 29097, 26019, 14436, 6986, 13434, 36777, 3680, 36545, 26546, 35004]",[],"[23997, 11052, 4099, 4545, 14878, 13495, 5403, 12172, 776, 25679, 5746, 32964, 16040, 29097, 34930, 19254, 11883, 1390, 12868, 29684, 8099, 23051, 27220, 13172, 8682, 17078, 24246, 24676, 6317, 26485, 21938, 13448, 2673, 13145, 30139, 1451, 23762, 31748, 5414, 2441, 25326, 26905, 36444, 6541, 7484, 35104, 21835, 14507, 1402, 5274, 15047, 20528, 11052, 31561, 25601, 36824, 9601, 4821, 8115, 13495, 18134, 23199, 24818, 9539, 10517, 32964, 30707, 16081, 29097, 26019, 14436, 6986, 13434, 36777, 3680, 36545, 26546, 35004]"
1423,"[13527, 14485, 11729, 22495]",[],0,"[18056, 22717, 25719, 23652, 28769, 3961, 27589, 18249, 21046, 18731, 25204, 12574, 17612, 36542, 14826, 6268, 681, 4675, 22738, 11044, 25098, 18789, 8179]","[18056, 22717, 25719, 23652, 28769, 3961, 27589, 18249, 21046, 18731, 25204, 12574, 17612, 36542, 14826, 6268, 681, 4675, 22738, 11044, 25098, 18789, 8179]",[]
20254,[],"[358, 20477, 8713, 37187]",1,[],[],[]
73211,[],"[34172, 36062, 5221, 20794, 37195, 37557, 26494, 23772, 9839]",1,[],[],[]
90786,[],"[14140, 25764]",1,[],[],[]
41230,[],"[17267, 16281, 26581, 21135, 26748, 29180, 15848, 7485, 8102, 22989, 31537]",1,"[2275, 4313, 7689, 36716, 10424, 22989, 21126, 31210, 24402, 32901, 11261, 182, 34810, 13784, 37236, 7454, 483, 15981, 18004, 5267, 36752, 32886]",[],"[2275, 4313, 7689, 36716, 10424, 22989, 21126, 31210, 24402, 32901, 11261, 182, 34810, 13784, 37236, 7454, 483, 15981, 18004, 5267, 36752, 32886]"
8100,"[21499, 9867, 18419]",[],0,[],[],[]
7453,"[2117, 33117, 1565, 7437, 1426, 3676, 11370, 9703, 23642, 11070]",[],0,[],[],[]
16311,"[3720, 5728, 30837, 6342]",[],0,[],[],[]
26502,[],"[36973, 16311, 5976, 35471, 13519, 11029, 8647]",1,[],[],[]
91182,[],"[9090, 10241, 22080, 15386, 23772]",1,[],[],[]
18605,"[36983, 32433, 2907]",[],0,[],[],[]
19929,[],"[16555, 35546, 21156, 2469, 36286, 16682]",1,"[7547, 30017, 33694, 28706, 14641, 25222, 19923, 14723, 5976, 33704, 28861, 11914, 34915, 14351, 4658, 4325, 27697, 1187, 8198, 5166, 6978, 20696, 397, 36008, 17301, 29170, 7676, 5016, 1236, 2154, 20215, 17267, 11341, 7947, 33112, 28287, 16168, 9622, 2857, 14376, 17267, 20696, 21036, 28861, 17301, 34915, 33112, 28287, 5016, 14641, 14023, 30051, 11822, 7690, 12012, 32441, 29575, 15748, 2469, 22515, 8587, 11253, 9853, 8979, 9072, 28310, 3190, 5009, 9642, 22731, 19933, 17455, 36051, 24051, 23220, 28725, 17226, 19364, 5961, 33325, 9993, 3205, 9222, 12247, 12717, 13797]",[],"[7547, 30017, 33694, 28706, 14641, 25222, 19923, 14723, 5976, 33704, 28861, 11914, 34915, 14351, 4658, 4325, 27697, 1187, 8198, 5166, 6978, 20696, 397, 36008, 17301, 29170, 7676, 5016, 1236, 2154, 20215, 17267, 11341, 7947, 33112, 28287, 16168, 9622, 2857, 14376, 17267, 20696, 21036, 28861, 17301, 34915, 33112, 28287, 5016, 14641, 14023, 30051, 11822, 7690, 12012, 32441, 29575, 15748, 2469, 22515, 8587, 11253, 9853, 8979, 9072, 28310, 3190, 5009, 9642, 22731, 19933, 17455, 36051, 24051, 23220, 28725, 17226, 19364, 5961, 33325, 9993, 3205, 9222, 12247, 12717, 13797]"
7053,"[22929, 15903, 8778, 32835]",[],0,[],[],[]
18318,"[14258, 19813, 18993, 26116]",[],0,"[16614, 8219, 24832, 9043, 5719, 18993, 13263, 27258, 15039]","[16614, 8219, 24832, 9043, 5719, 18993, 13263, 27258, 15039]",[]
12926,"[20941, 2797, 3676, 6778, 24963]",[],0,[],[],[]
18306,"[29412, 29237, 30144, 4442, 11948]",[],0,[],[],[]
81375,[],"[28614, 19029, 1507, 12510]",1,"[3580, 9699, 1775, 587, 14174, 10221, 18100, 16364]",[],"[3580, 9699, 1775, 587, 14174, 10221, 18100, 16364]"
6776,"[31550, 1565, 18006, 28110]",[],0,[],[],[]
77681,[],"[13588, 31387, 21535, 29101]",1,"[28614, 25629, 36219, 3900, 787, 24351, 20079, 14845, 16859, 7359, 13770, 3360, 24665, 36226, 20481]",[],"[28614, 25629, 36219, 3900, 787, 24351, 20079, 14845, 16859, 7359, 13770, 3360, 24665, 36226, 20481]"
41860,[],"[14859, 33589, 25373, 30098, 3054]",1,[],[],[]
